resource	raw_files	raw_bytes	empty_files	primary_manuscript_role	used_in_main_analysis	licence_or_access_status	release_treatment	analytical_category	version_or_snapshot	manuscript_use	official_access_url	download_url_or_template	download_route_note	link_register_date	historical_file_receipts
expression_atlas	6578	9803635898	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ebi.ac.uk/gxa/home	https://www.ebi.ac.uk/gxa/home	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
geo_sra	49	3906154	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ncbi.nlm.nih.gov/geo/	https://www.ncbi.nlm.nih.gov/geo/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
intact	9	1356003595	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ebi.ac.uk/intact/	https://www.ebi.ac.uk/intact/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
jgi_plant_gene_atlas	3	3515	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://phytozome-next.jgi.doe.gov/	https://phytozome-next.jgi.doe.gov/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
knapsack	3	31673	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	http://www.knapsackfamily.com/	http://www.knapsackfamily.com/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
literature	9	20398942	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None			Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
lotus	9	111003766	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://lotus.naturalproducts.net/	https://lotus.naturalproducts.net/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
metabolights	3	42617	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ebi.ac.uk/metabolights/	https://www.ebi.ac.uk/metabolights/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
ncbi_genomes	2	3060939732	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ncbi.nlm.nih.gov/datasets/	https://www.ncbi.nlm.nih.gov/datasets/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
ncbi_taxonomy	5	158684666	0	Ancestor features for taxonomy-only and taxonomy-plus-site controls	yes	US government resource; policy review retained	Identifiers only	Taxid reconciliation and lineage controls	Historical taxonomy snapshot	Supplementary Methods: availability-matched local and taxonomic conditional models	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/new_taxdump.tar.gz	Current taxonomy dump; retain nodes/names plus original snapshot hash	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
p450atlas	10	575115	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://p450atlas.org/	https://p450atlas.org/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
p450rdb	10	7144486	0	Core sequence--reaction assertions	yes	Academic offline access; explicit redistribution licence not certified	Raw records excluded; derived identifiers require final permission review	Core reaction assertions	v2.0; historical local snapshots	Figs 1-4; S1-S2; S4	https://www.cellknowledge.com.cn/p450rdb_v2/download.html	https://www.cellknowledge.com.cn/p450rdb_v2/download/1.%20Reactions.CSV	Current direct reaction file; companion enzyme/compound/sequence files on download page	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
pdb	6152	585908342	0	Experimentally determined structure availability	yes	CC0 1.0	Attribution to entries and archive retained	Primary deposited structure coordinates	Entry-specific coordinate snapshots	Fig 3; S4	https://www.rcsb.org/	https://files.rcsb.org/download/{PDB_ID}.cif	API template: replace PDB_ID; identifiers in structure provenance	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
pfam_interpro	39	18710132869	0	PF00067 family annotations embedded in consumed UniProt records	yes	Release terms require final record-level review	Derived family-support flag only	Embedded family annotation	PF00067 cross-references in historical UniProt inputs	Figs 1-4; Fig S1; core family qualification	https://www.ebi.ac.uk/interpro/entry/pfam/PF00067/	https://www.ebi.ac.uk/interpro/api/entry/pfam/PF00067/	Family definition entry. Actual per-protein support is read from UniProt API/Swiss-Prot inputs; no separate bulk InterPro/HMM file consumption is asserted.	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
plant_p450_database	22	398818085	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://p450.biodesign.ac.cn/	https://p450.biodesign.ac.cn/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
plant_reactome	89	3659951808	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://plantreactome.gramene.org/	https://plantreactome.gramene.org/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
plantismash	3	72445790	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://github.com/plantismash/plantismash	https://github.com/plantismash/plantismash	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
postfreeze_resolved_reference_evidence_v1	14	7188272	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None			Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
pubchem	169	22803808	0	No PubChem lookup or bulk-data input traced to the current computations. External *_PF files were acquired but Morgan models use original structures, not supplied PubChem fingerprint matrices.	no	Contributor-specific terms	No blanket redistribution assumption	Targeted compound identity lookup	Record-specific retrieval	Excluded from active analytical resource list; historical inventory retained	https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/{CID}/property/InChIKey,CanonicalSMILES/JSON	API template: replace CID; inspect current property names if provider changes them	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
pubmed	15	19780755	0	PMIDs used for admission and publication purges are fields of P450Rdb/UniProt assertions; separate PubMed retrievals are not a traced model input.	no	NLM policies apply	Identifiers only	Publication identity and provenance	PMID-specific metadata	Excluded from active analytical resource list; historical inventory retained	https://pubmed.ncbi.nlm.nih.gov/	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id={PMID}&retmode=xml	API template; metadata and source papers have different reuse terms	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
rcsb_cyp_ligand_templates_v1	1077	271307045	0	Heme/ligand geometry templates derived from PDB	yes	PDB archive CC0 1.0	Derived identifiers and geometry may be released with attribution	Derived heme/contact template collection	Internal derived collection; same PDB lineage	Fig 3; S4	https://www.rcsb.org/	https://files.rcsb.org/download/{PDB_ID}.cif	Not an independent database; rebuild contacts from the recorded PDB entries	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
rhea	67	328176613	0	Directional reaction structures and identifiers	yes	CC BY 4.0	Attribution required	Reaction identity and participant context	Historical local release; see original receipts	Figs 1-4; S1-S2	https://ftp.expasy.org/databases/rhea/	https://ftp.expasy.org/databases/rhea/tsv/rhea-reaction-smiles.tsv	Current reaction-SMILES TSV observed in the official directory; freeze separately to reproduce the historical snapshot	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
sabio_rk	158	6799324	0	Annotation-resolution audit; not admitted to exact core	yes	Redistribution terms not certified	Raw records excluded	Kinetic annotation-resolution audit	Targeted historical API records	Fig S1; Table S2; zero admitted core assertions	https://sabiork.h-its.org/	https://sabiork.h-its.org/sabioRestWebServices/kineticLaws	Query API entry point; retain exact historical query separately	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
single_cell_expression_atlas	3	215982	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.ebi.ac.uk/gxa/sc/home	https://www.ebi.ac.uk/gxa/sc/home	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
suba5	10	134611	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://suba.live/	https://suba.live/	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
uniprot	72	1746114453	0	Sequence and catalytic-activity annotations	yes	CC BY 4.0	Attribution required	Core sequence and reaction assertions	Historical API snapshots; no uniform release certified	Figs 1-4; S1-S2; S4	https://rest.uniprot.org/uniprotkb/search	https://rest.uniprot.org/uniprotkb/search?query=%28xref%3Apfam-PF00067%29&format=tsv	Example CYP-family query, not the exact historical request; archived request receipts retain original queries	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
uniprot_proteomes	261	1666665222	0	Downloaded inventory; not used in primary numerical claims	no	Not adjudicated for release	Excluded from manuscript redistribution bundle	Downloaded inventory only	Historical inventory; not an analytical input	None	https://www.uniprot.org/proteomes	https://www.uniprot.org/proteomes	Not used to enlarge any manuscript evidence denominator; no exact-download reconstruction claimed	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
uniprot_swissprot	1	6450	0	Reviewed UniProt flat-file lineage	yes	CC BY 4.0	Attribution required; not counted as independent from UniProt API	Same UniProt annotation lineage	Historical reviewed flat-file snapshot	Figs 1-4; S1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz	Current full reviewed flat file; NOT independent of UniProt API	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
cypstrate	not enumerated in run_03 inventory	not enumerated in run_03 inventory	not applicable	Nine-isoform fixed-human development labels	yes	Publicly accessible source; redistribution terms not certified	Raw records excluded; derived model bundle carries source notice	Fixed-human development labels	Molecules 2021, 26, 4678 supplementary archive	Figs 5-6; S3	https://pmc.ncbi.nlm.nih.gov/articles/PMC8347321/	https://mdpi-res.com/d_attachment/molecules/molecules-26-04678/article_deploy/molecules-26-04678-s001.zip	Original XLS supplement; original train/test partitions are both historical development data here	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
figshare_26630515_v4	26	33384548	0	Independently qualified fixed-human external labels	yes	CC BY 4.0	Attribution and source DOI required	Qualified fixed-human external labels	Version 4; published 2025-03-28	Figs 5-6; S3	https://doi.org/10.6084/m9.figshare.26630515.v4	https://api.figshare.com/v2/articles/26630515/versions/4	Version-specific API; all 26 direct file URLs and checksums in Table S1b	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
CLEAN_v1.0.0	external software assets	not included	not applicable	EC-context/pruning analysis	yes	Non-exclusive research-use licence	Weights and licensed assets excluded	Pretrained EC-context expert	v1.0.0 training/weight snapshot used in analysis	Fig 3; S4	https://github.com/tttianhao/CLEAN	https://github.com/tttianhao/CLEAN	Follow upstream model and training-data links and research-use terms; no weight redistribution	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
ESM2_650M	external model assets	not included	not applicable	Global protein embeddings	yes	Upstream model terms apply	Checkpoint excluded; feature hashes and specification retained	Pretrained protein representation	esm2_t33_650M_UR50D, layer 33	Figs 2-3; S2; S4	https://github.com/facebookresearch/esm	https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t33_650M_UR50D.pt	Official 650M checkpoint; no supervised fine-tuning; individual pretraining exposure uncertified	2026-09-15	Provenance/download_manifest_historical.tsv; only covered requests are recorded there
